Time[s],u[ft/s],v[ft/s],w[ft/s],p[rad/s],q[rad/s],r[rad/s],x[ft],y[ft],z[ft],e0[rad],ex[rad],ey[rad],ez[rad]
  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00, -2.000000000000e+03,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  5.000000000000e-03, -2.891137881597e-23,  0.000000000000e+00,  1.608388388313e-01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00, -4.313712058844e-26,  0.000000000000e+00, -1.999999597902e+03,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  1.000000000000e-02, -1.597817404206e-22,  0.000000000000e+00,  3.216760125035e-01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00, -4.603866527501e-25,  0.000000000000e+00, -1.999998391614e+03,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  1.500000000000e-02, -4.471332499678e-22,  0.000000000000e+00,  4.825106305850e-01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00, -1.902109877762e-24,  0.000000000000e+00, -1.999996381147e+03,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  2.000000000000e-02, -9.394960624156e-22,  0.000000000000e+00,  6.433419005045e-01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00, -5.273591166228e-24,  0.000000000000e+00, -1.999993566514e+03,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  2.500000000000e-02, -1.682575071841e-21,  0.000000000000e+00,  8.041690758322e-01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00, -1.171505089936e-23,  0.000000000000e+00, -1.999989947734e+03,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  3.000000000000e-02, -2.720299439699e-21,  0.000000000000e+00,  9.649914391390e-01,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00, -2.259050314770e-23,  0.000000000000e+00, -1.999985524831e+03,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  3.500000000000e-02, -4.095343753573e-21,  0.000000000000e+00,  1.125808293486e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00, -3.948031034360e-23,  0.000000000000e+00, -1.999980297829e+03,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  4.000000000000e-02, -5.849433353634e-21,  0.000000000000e+00,  1.286618957435e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00, -6.417573455954e-23,  0.000000000000e+00, -1.999974266758e+03,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
  4.500000000000e-02, -8.023541741623e-21,  0.000000000000e+00,  1.447422761830e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00, -9.867471760582e-23,  0.000000000000e+00, -1.999967431651e+03,  1.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00,  0.000000000000e+00
